LECROYHDO6104,5578,Waveform
Segments,1,SegmentSize,5002
Segment,TrigTime,TimeSinceSegment1
#1,16-Jun-2023 10:28:16,0                 
Time,Ampl
1.359359e-08,0.000425
1.363359e-08,0.00037375
1.367359e-08,0.00031875
1.371359e-08,0.0002625
1.375359e-08,0.000205625
1.379359e-08,0.000150625
1.383359e-08,0.0001
1.387359e-08,5.625e-05
1.391359e-08,2.125e-05
1.395359e-08,-1.25e-06
1.399359e-08,-1e-05
1.403359e-08,-1.875e-06
1.407359e-08,2.4375e-05
1.411359e-08,6.9375e-05
1.415359e-08,0.00013375
1.419359e-08,0.000218125
1.423359e-08,0.00032
1.427359e-08,0.00043875
1.431359e-08,0.000571875
1.435359e-08,0.00071625
1.439359e-08,0.000869375
1.443359e-08,0.00102688
1.447359e-08,0.00118563
1.451359e-08,0.0013425
1.455359e-08,0.00149375
1.459359e-08,0.00163688
1.463359e-08,0.00177
1.467359e-08,0.00189063
1.471359e-08,0.00199875
1.475359e-08,0.00209437
1.479359e-08,0.00217688
1.483359e-08,0.00224813
1.487359e-08,0.00231
1.491359e-08,0.00236375
1.495359e-08,0.00241187
1.499359e-08,0.00245687
1.503359e-08,0.0025
1.507359e-08,0.00254375
1.511359e-08,0.00258875
1.515359e-08,0.00263688
1.519359e-08,0.00268688
1.523359e-08,0.00273937
1.527359e-08,0.00279375
1.531359e-08,0.0028475
1.535359e-08,0.0029
1.539359e-08,0.00294813
1.543359e-08,0.00299
1.547359e-08,0.00302375
1.551359e-08,0.0030475
1.555359e-08,0.00305938
1.559359e-08,0.00305875
1.563359e-08,0.00304438
1.567359e-08,0.00301625
1.571359e-08,0.00297562
1.575359e-08,0.00292312
1.579359e-08,0.00286063
1.583359e-08,0.00279
1.587359e-08,0.00271313
1.591359e-08,0.00263313
1.595359e-08,0.00255188
1.599359e-08,0.00247125
1.603359e-08,0.00239375
1.607359e-08,0.00232
1.611359e-08,0.00225187
1.615359e-08,0.00218875
1.619359e-08,0.00213188
1.623359e-08,0.00208
1.627359e-08,0.0020325
1.631359e-08,0.00198812
1.635359e-08,0.00194625
1.639359e-08,0.001905
1.643359e-08,0.00186313
1.647359e-08,0.00182
1.651359e-08,0.00177563
1.655359e-08,0.00172875
1.659359e-08,0.00168
1.663359e-08,0.00163
1.667359e-08,0.00158
1.671359e-08,0.00153125
1.675359e-08,0.001485
1.679359e-08,0.00144313
1.683359e-08,0.0014075
1.687359e-08,0.00137937
1.691359e-08,0.00136
1.695359e-08,0.00135
1.699359e-08,0.00135
1.703359e-08,0.00136
1.707359e-08,0.00137937
1.711359e-08,0.00140688
1.715359e-08,0.00144125
1.719359e-08,0.00148063
1.723359e-08,0.00152313
1.727359e-08,0.00156687
1.731359e-08,0.00160938
1.735359e-08,0.00165
1.739359e-08,0.0016875
1.743359e-08,0.00172
1.747359e-08,0.00174813
1.751359e-08,0.00177188
1.755359e-08,0.00179188
1.759359e-08,0.00181063
1.763359e-08,0.00182813
1.767359e-08,0.00184812
1.771359e-08,0.00187188
1.775359e-08,0.0019025
1.779359e-08,0.00194125
1.783359e-08,0.00199
1.787359e-08,0.00205062
1.791359e-08,0.00212375
1.795359e-08,0.00221
1.799359e-08,0.00230813
1.803359e-08,0.00241813
1.807359e-08,0.00253688
1.811359e-08,0.00266375
1.815359e-08,0.002795
1.819359e-08,0.00292813
1.823359e-08,0.00306
1.827359e-08,0.0031875
1.831359e-08,0.0033075
1.835359e-08,0.00341813
1.839359e-08,0.00351625
1.843359e-08,0.00360063
1.847359e-08,0.00366937
1.851359e-08,0.00372312
1.855359e-08,0.00376063
1.859359e-08,0.0037825
1.863359e-08,0.00379
1.867359e-08,0.00378375
1.871359e-08,0.00376563
1.875359e-08,0.0037375
1.879359e-08,0.0037
1.883359e-08,0.00365563
1.887359e-08,0.00360563
1.891359e-08,0.00355125
1.895359e-08,0.00349313
1.899359e-08,0.0034325
1.903359e-08,0.00337
1.907359e-08,0.00330625
1.911359e-08,0.00324125
1.915359e-08,0.00317563
1.919359e-08,0.00310938
1.923359e-08,0.0030425
1.927359e-08,0.00297562
1.931359e-08,0.00290937
1.935359e-08,0.00284375
1.939359e-08,0.00278063
1.943359e-08,0.00272
1.947359e-08,0.00266312
1.951359e-08,0.00261125
1.955359e-08,0.00256563
1.959359e-08,0.0025275
1.963359e-08,0.00249687
1.967359e-08,0.00247625
1.971359e-08,0.002465
1.975359e-08,0.00246313
1.979359e-08,0.00247188
1.983359e-08,0.00249
1.987359e-08,0.00251688
1.991359e-08,0.0025525
1.995359e-08,0.00259375
1.999359e-08,0.00264125
2.003359e-08,0.00269125
2.007359e-08,0.00274375
2.011359e-08,0.00279625
2.015359e-08,0.0028475
2.019359e-08,0.00289562
2.023359e-08,0.00294
2.027359e-08,0.00297875
2.031359e-08,0.00301187
2.035359e-08,0.00303875
2.039359e-08,0.00305938
2.043359e-08,0.00307375
2.047359e-08,0.00308312
2.051359e-08,0.0030875
2.055359e-08,0.0030875
2.059359e-08,0.003085
2.063359e-08,0.00308
2.067359e-08,0.00307437
2.071359e-08,0.00306813
2.075359e-08,0.00306313
2.079359e-08,0.00305875
2.083359e-08,0.00305625
2.087359e-08,0.00305563
2.091359e-08,0.00305687
2.095359e-08,0.00306
2.099359e-08,0.00306438
2.103359e-08,0.00307
2.107359e-08,0.00307625
2.111359e-08,0.00308188
2.115359e-08,0.0030875
2.119359e-08,0.0030925
2.123359e-08,0.00309563
2.127359e-08,0.0030975
2.131359e-08,0.0030975
2.135359e-08,0.00309625
2.139359e-08,0.00309375
2.143359e-08,0.00309
2.147359e-08,0.00308563
2.151359e-08,0.00308063
2.155359e-08,0.00307625
2.159359e-08,0.0030725
2.163359e-08,0.00307
2.167359e-08,0.00306938
2.171359e-08,0.00307125
2.175359e-08,0.003075
2.179359e-08,0.00308125
2.183359e-08,0.00309
2.187359e-08,0.00310125
2.191359e-08,0.00311375
2.195359e-08,0.00312812
2.199359e-08,0.00314313
2.203359e-08,0.00315875
2.207359e-08,0.00317312
2.211359e-08,0.00318625
2.215359e-08,0.0031975
2.219359e-08,0.00320563
2.223359e-08,0.00321
2.227359e-08,0.00321
2.231359e-08,0.003205
2.235359e-08,0.00319438
2.239359e-08,0.0031775
2.243359e-08,0.00315562
2.247359e-08,0.00312688
2.251359e-08,0.00309312
2.255359e-08,0.00305313
2.259359e-08,0.00300875
2.263359e-08,0.00296
2.267359e-08,0.00290813
2.271359e-08,0.00285375
2.275359e-08,0.0027975
2.279359e-08,0.00274188
2.283359e-08,0.00268813
2.287359e-08,0.00263625
2.291359e-08,0.00258875
2.295359e-08,0.00254563
2.299359e-08,0.00250938
2.303359e-08,0.00248
2.307359e-08,0.00245813
2.311359e-08,0.002445
2.315359e-08,0.00243937
2.319359e-08,0.0024425
2.323359e-08,0.0024525
2.327359e-08,0.00247
2.331359e-08,0.0024925
2.335359e-08,0.00251937
2.339359e-08,0.00254938
2.343359e-08,0.00258
2.347359e-08,0.00261063
2.351359e-08,0.00263875
2.355359e-08,0.00266375
2.359359e-08,0.00268438
2.363359e-08,0.00269937
2.367359e-08,0.00270812
2.371359e-08,0.00271
2.375359e-08,0.00270563
2.379359e-08,0.00269563
2.383359e-08,0.00268
2.387359e-08,0.00266
2.391359e-08,0.00263625
2.395359e-08,0.00261
2.399359e-08,0.0025825
2.403359e-08,0.00255438
2.407359e-08,0.00252625
2.411359e-08,0.00249938
2.415359e-08,0.0024725
2.419359e-08,0.00244625
2.423359e-08,0.00242
2.427359e-08,0.00239313
2.431359e-08,0.00236438
2.435359e-08,0.00233313
2.439359e-08,0.0022975
2.443359e-08,0.00225688
2.447359e-08,0.00221062
2.451359e-08,0.00215812
2.455359e-08,0.00209875
2.459359e-08,0.0020325
2.463359e-08,0.00196
2.467359e-08,0.00188188
2.471359e-08,0.0018
2.475359e-08,0.001715
2.479359e-08,0.00162937
2.483359e-08,0.00154375
2.487359e-08,0.00146063
2.491359e-08,0.00138125
2.495359e-08,0.0013075
2.499359e-08,0.00124
2.503359e-08,0.00118
2.507359e-08,0.0011275
2.511359e-08,0.00108312
2.515359e-08,0.00104625
2.519359e-08,0.00101625
2.523359e-08,0.000993125
